Result Type,Title,Price (INR),Rating,Image URL
Organic,"Acer Aspire 3 Laptop Intel Core Celeron N4500 Processor Laptop (8 GB LPDDR4X SDRAM/256 GB SSD/Win11 Home/38 WHR/HD Webcam) A325-45 with 39.63 cm (15.6"") HD Display, Pure Silver, 1.5 KG",36990,3.6 out of 5 stars,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif
Organic,"HP 15, Intel Core Ultra 5 125H (16GB DDR5, 1TB SSD) FHD, IPS, 15.6''/39.6cm, Win11, M365 Basic(1yr)*Office24, Silver, 1.65kg, fd1354TU, Intel Arc Graphics, FHD Camera w/Shutter, AI Powered Laptop",79990,3.8 out of 5 stars,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif
Organic,"Dell 15, Smart Choice AMD Ryzen 7-7730U, 16GB DDR4, 512GB SSD, FHD, 15.6""/39.6cm, Windows 11, Microsoft Office Home 2024, Silver, 1.63Kg, 120Hz 250nits, AMD Radeon Graphics, Thin & Light Laptop",58490,3.5 out of 5 stars,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif
Organic,"ASUS Vivobook 15, 13th Gen, Intel Core i3-1315U, 16GB RAM, 512GB SSD, FHD, Anti-Glare, 15.6"", 39.6 cm, Windows 11 Home, M365 Basic(1yr)* Office24, Quiet Blue, 1.70 kg, X1504VA-BQ342WS, Laptop",52390,4.2 out of 5 stars,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif
Organic,"HP 15 Smartchoice, 13th Gen Intel Core i5-1334U (16GB DDR4, 1TB SSD) FHD, Anti-Glare, Micro-Edge, 15.6''/39.6cm, Win11, M365(1yr) Office24, Silver, 1.59kg, FD0552TU,Iris Xe, FHD Camera, Backlit Laptop",68990,3.8 out of 5 stars,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif
Organic,"DELL 14 (2025) Intel Core i3 13th Gen 1305U - (8 GB/512 GB SSD/Intel UHD Graphics/Windows 11 Pro) Thin and Light Business Laptop/14.0"" FHD+ IPS Display/Ice Blue/1.4 kg/MSO 2021/1 Year ADP Warranty",44800,3.7 out of 5 stars,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif
Organic,"HP 15 (2026), AMD Ryzen 3 Quad Core 7335U - (8 GB DDR5/512 GB SSD/AMD Radeon 660M Graphics/Windows 11 Home) Thin and Light Business Laptop/15.6"" Display/Turbo Silver/Copilot Key/1.5kg/MS Office",43750,N/A,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif
Ad,"Lenovo IdeaPad Slim 3 13th Gen Core i5-13420H 15.3 inch (38.8cm) WUXGA IPS Laptop (16GB RAM/512GB SSD/Windows 11/Office Home 2024/Top Metal Cover/Backlit Keyboard/1Yr ADP/Grey/1.6Kg), 83K100S3IN",65700,2.3 out of 5 stars,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif
Ad,"HP 15 Smartchoice, Intel Core Ultra 5 125H (24GB DDR5, 1TB SSD), Micro-Edge, Anti-Glare, FHD, 15''/39.6cm, Win11, M365* Office24, Silver, 1.65kg, FD1458TU, FHD Camera, Backlit Laptop",84990,3.8 out of 5 stars,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif
Organic,"HP 255R G10 Notebook (AMD Athlon Silver 7120U /8GB/512GB/DOS) 15.6-inch(39.6cm), Anti-Glare, HD Laptop, Radeon Graphics, Silver,1.52kg",40550,N/A,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif
Organic,"ASUS Zenbook 14 (2026),Smartchoice,Intel Core Ultra 9 285H,32GB RAM,1TB SSD,OLED,Touchscreen,14""(35.5 cm),Win 11,M365 Basic(1Y)* Office 24,Foggy Silver,1.28 Kg,UX3405CA-QL1113WS,Thin & Light Laptop",124990,N/A,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif
Organic,"HP 15, Intel Core i3-1315U-13th Gen Laptop (8GB DDR4 Ram,512GB SSD) Anti-Glare, Micro-Edge,15.6'"" FHD, Win11,M365 Basic(1yr),Office Home24, Silver,1.59kg, FHD Camera Shutter, 15-fd0569TU",49490,4.0 out of 5 stars,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif
Organic,"DELL PRO 15 (2025) AMD Ryzen 5 7520U Quad Core - (8 GB DDR5/512 GB SSD/AMD Radeon 610M Graphics/Windows 11 Home) Thin and Light Business Laptop/Backlit/15.6"" FHD Display/Black/1.5 kg/MSO 2021",44790,3.7 out of 5 stars,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif
Organic,"ASUS Vivobook 16, Intel Core i5-12500H, 16GB RAM, 512GB SSD, FHD+ 60Hz 300Nits, 16"", Windows 11, MS Office Home, Transparent Silver, 1.88KG, X1605ZAC-MB541WS, Fingerprint, 42Whr Battery Laptop",60600,4.2 out of 5 stars,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif
Organic,"HP 15, AMD Ryzen 3 7320U (8GB LPDDR5, 512GB SSD) FHD, Anti-Glare, Micro-Edge, 15.6""/39.6cm, Win 11, Office 21, Silver, 1.59kg, fc0154AU, AMD Radeon Graphics, 1080p FHD Camera Laptop",45990,4.0 out of 5 stars,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif
Organic,"ASUS Vivobook 14 (2026),Intel Core Ultra 5 225H, Intel iGPU,16GB RAM,1TB SSD,FHD+,14""(35.5 cm),Windows 11,M365 Basic(1 Year)* Office 2024, Platinum Gold, 1.46 Kg, X1407CA-LY1581WS,Thin & Light Laptop",69990,4.4 out of 5 stars,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif
Ad,"HP Smartchoice Victus, 13th Gen Intel Core i7-13620H, 8GB RTX 5050, 24GB DDR5(Upgradeable) 1TB SSD, 144Hz, FHD, 15.6''/39.6cm, Win11, M365* Office24, Mica Silver, 2.29kg, fa2309TX, RGB Gaming Laptop",119990,4.0 out of 5 stars,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif
Ad,"Lenovo LOQ, Intel Core i7 14th Gen-14700HX, RTX 5050-8GB, 16GB RAM, 1TB SSD, FHD, 83JE00U6IN, 15.6""/39.6cm, 144Hz, Windows 11, Office 2024, Grey, 2.4Kg, 3 Mon. Game Pass, 83JE00U6IN, AI Gaming Laptop",130499,4.0 out of 5 stars,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif
